club,nation,coach,formation,mvp,position,season
FCSB,Romania,Anghel Iordănescu,unknown,unknown,runner up,'1988/1989'
AC Milan,Italy,Arrigo Sacchi,unknown,unknown,winner,'1989/1990'
SL Benfica,Portugal,Sven-Göran Eriksson,unknown,unknown,runner up,'1989/1990'
FC crvena zvezda,Serbia,Ljubo Petrovic,unknown,unknown,winner,'1990/1991'
Olympique de marseille fc,France,Raymond Goethals,unknown,unknown,runner up,'1990/1991'
Barcelona FC,Spain,Johan Cruyff,unknown,unknown,winner,'1991/1992'
UC sampdoria,Italy,Vujadin Boškov,unknown,unknown,runner up,'1991/1992'
Olympique de marseille fc,France,Raymond Goethals,unknown,unknown,winner,'1992/1993'
AC Milan,Italy,Fabio Capello,unknown,unknown,runner up,'1992/1993'
AC Milan,Italy,Fabio Capello,'4-4-2',unknown,winner,'1993/1994'
Barcelona FC,Spain,Johan Cruyff,'4-4-2',unknown,runner up,'1993/1994'
AFC Ajax,Netherlands,Louis van Gaal,unknown,unknown,winner,'1994/1995'
AC Milan,Italy,Fabio Capello,unknown,unknown,runner up,'1994/1995'
Juventus,Italy,Marcello Lippi,unknown,unknown,winner,'1995/1996'
AFC Ajax,Netherlands,Louis van Gaal,unknown,unknown,runner up,'1995/1996'
Borussia Dortmund,Germany,Ottmar Hitzfeld,'4-4-2',unknown,winner,'1996/1997'
Juventus,Italy,Marcello Lippi,'4-4-2',unknown,runner up,'1996/1997'
Real Madrid CF,Spain,Jupp Heynckes,unknown,unknown,winner,'1997/1998'
Juventus,Italy,Marcello Lippi,unknown,unknown,runner up,'1997/1998'
Manchester United FC,England,Sir Alex Ferguson,'4-4-2',David Beckham,winner,'1998/1999'
FC Bayern Munchen,Germany,Ottmar Hitzfeld,'4-4-2',unknown,runner up,'1998/1999'
Real Madrid CF,Spain,Vicente del Bosque,unknown,Raúl,winner,'1999/2000'
Valencia CF,Spain,Héctor Cúper,unknown,unknown,runner up,'1999/2000'
FC Bayern Munchen,Germany,Ottmar Hitzfeld,unknown,Oliver Kahn,winner,'2000/2001'
Valencia CF,Spain,Héctor Cúper,unknown,unknown,runner up,'2000/2001'
Real Madrid CF,Spain,Vicente del Bosque,'4-4-2',Zinedine Zidane,winner,'2001/2002'
Bayer 04 Leverkusen,Germany,Klaus Toppmöller,'5-4-1',unknown,runner up,'2001/2002'
AC Milan,Italy,Carlo Ancelotti,'4-4-2',Paolo Maldini,winner,'2002/2003'
Juventus,Italy,Marcello Lippi,'4-3-3',unknown,runner up,'2002/2003'
FC Porto,Portugal,José Mourinho,'4-3-1-2',Deco,winner,'2003/2004'
AS Monaco,France,Didier Deschamps,'4-5-1',unknown,runner up,'2003/2004'
Liverpool FC,England,Rafael Benítez,'5-3-2',Steven Gerrard,winner,'2004/2005'
AC Milan,Italy,Carlo Ancelotti,'4-3-3',unknown,runner up,'2004/2005'
Barcelona FC,Spain,Frank Rijkaard,'4-3-3',Samuel Eto'o,winner,'2005/2006'
Arsenal FC,England,Arsène Wenger,'4-4-2',unknown,runner up,'2005/2006'
AC Milan,Italy,Carlo Ancelotti,'4-4-2',Filippo Inzaghi,winner,'2006/2007'
Liverpool FC,England,Rafael Benítez,'4-5-1',unknown,runner up,'2006/2007'
Manchester United FC,England,Sir Alex Ferguson,'4-4-2',Edwin van der Sar,winner,'2007/2008'
Chelsea FC,England,Avram Grant,'4-3-2-1',unknown,runner up,'2007/2008'
Barcelona FC,Spain,Josep Guardiola,'4-3-2-1',Xavi,winner,'2008/2009'
Manchester United FC,England,Sir Alex Ferguson,'4-3-3',unknown,runner up,'2008/2009'
FC Internazionale,Italy,José Mourinho,'4-3-3',Diego Milito,winner,'2009/2010'
FC Bayern Munchen,Germany,Louis van Gaal,'4-4-2',unknown,runner up,'2009/2010'
